"ARI_Rating","BIS_Rating","CDR_Rating","DKC_Rating","FRS_Rating","GNB_Rating","IOW_Rating","OAK_Rating","QDC_Rating","SDG_Rating","SPK_Rating","SXF_Rating","TSC_Rating","ARI_Wins","BIS_Wins","CDR_Wins","DKC_Wins","FRS_Wins","GNB_Wins","IOW_Wins","OAK_Wins","QDC_Wins","SDG_Wins","SPK_Wins","SXF_Wins","TSC_Wins","SEED1","SEED2","SEED3","SEED4","SEED5","SEED6","SEED7","SEED8","SEMI_LOSER_1","SEMI_LOSER_2","IFL_RU","IFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4","WeeklyWinner5","WeeklyWinner6"
1678.07814224207,1369.92073654382,1314.8737085022,1510.22065172894,1421.75597820234,1551.68512649713,1661.70544323179,1397.84960465812,1581.16714849561,1374.87978184482,1416.93740299955,1678.05878235509,1542.86749169852,9,4,2,8,6,9,9,4,10,5,5,11,9,"SXF","QDC","IOW","ARI","TSC","GNB","DKC","FRS","SXF","ARI","DKC","IOW","FRS","IOW","CDR","SXF",NA,NA
1775.96573141201,1404.05345630842,1300.38689003784,1434.52893149446,1426.71003597663,1597.3323423542,1676.01570796562,1422.3502343362,1481.11129878043,1444.68536723752,1365.33533602694,1668.98117170628,1502.54349536343,13,6,1,6,6,11,11,5,4,9,2,10,7,"ARI","GNB","IOW","SXF","SDG","TSC","DKC","BIS","SXF","IOW","GNB","ARI","DKC","IOW","SDG","BIS",NA,NA
1697.18770709805,1392.22269418891,1371.97268491275,1455.92593373553,1354.17477057439,1539.14919589445,1648.81424195201,1381.32683676089,1572.16416984153,1467.60230328927,1444.17585555745,1755.17862611954,1420.10497907523,10,5,5,7,2,9,10,3,7,10,7,14,2,"IOW","ARI","SDG","GNB","QDC","SPK","DKC","CDR","IOW","SDG","ARI","QDC","FRS","IOW","SDG","SXF",NA,NA
1738.60782396884,1371.80645868652,1336.34952444337,1416.3022282272,1477.44119741367,1505.19472225895,1668.55510624086,1454.40606573383,1530.35051408417,1398.11493669838,1398.8250408295,1671.53509011855,1532.51129029616,11,4,3,5,8,7,11,7,7,6,4,9,9,"ARI","IOW","SXF","TSC","FRS","GNB","QDC","OAK","FRS","IOW","SXF","ARI","FRS","IOW","SDG","SXF",NA,NA
1697.0288260913,1369.66847206296,1334.52695538234,1388.88235376563,1423.11007170119,1524.84074092664,1612.54451125518,1412.4487774058,1526.87939910443,1407.30724396677,1563.00067314978,1678.99313404297,1560.76884014502,10,4,3,3,6,8,8,5,7,7,10,10,10,"ARI","TSC","SPK","SXF","IOW","GNB","QDC","SDG","ARI","TSC","SXF","SPK","FRS","OAK","SDG","SXF",NA,NA
1784.33602868981,1312.06145805249,1294.94024665789,1424.97930748687,1435.82656638093,1509.16579281107,1659.91862294098,1494.37421042088,1550.90468921527,1388.98574937247,1424.56555063986,1671.70683902925,1548.23493730222,14,1,1,5,5,7,11,10,8,6,5,9,9,"IOW","OAK","TSC","SXF","QDC","GNB","SDG","FRS","OAK","TSC","FRS","SXF","FRS","OAK","SDG","SXF",NA,NA
1770.23627291208,1309.6977287208,1372.37896416366,1405.2625177794,1408.53447515525,1542.82131380271,1693.12858257819,1434.7292456891,1506.82870646338,1398.48346162074,1429.79820682589,1726.21397749436,1501.88654579444,12,1,5,4,5,8,12,6,6,7,5,13,7,"SXF","IOW","ARI","GNB","SDG","TSC","QDC","OAK","GNB","IOW","SXF","ARI","FRS","IOW","SDG","SXF",NA,NA
1725.23099283512,1330.07427574398,1309.95657465314,1366.4415389548,1426.41070770349,1544.82683581813,1686.28461461123,1498.50929809285,1527.44878609793,1373.00428574564,1498.03257908147,1675.44482004332,1538.33468961891,12,2,2,2,6,8,12,10,7,5,7,9,9,"IOW","ARI","OAK","TSC","SXF","GNB","SPK","QDC","IOW","GNB","SPK","SXF","DKC","OAK","CDR","SXF",NA,NA
1696.08407539571,1333.71426878329,1335.84632677959,1475.2875701759,1389.50467760039,1514.4985728392,1732.44904348756,1461.24978227029,1516.2243068565,1358.60410648762,1471.12099098398,1664.22332428657,1551.19295305341,9,2,3,8,4,7,13,8,6,4,8,10,9,"IOW","SXF","ARI","TSC","OAK","DKC","SPK","GNB","TSC","SXF","ARI","IOW","DKC","IOW","CDR","SXF",NA,NA
1670.41617709433,1314.76109314762,1392.73675817475,1424.60663835797,1398.81981637835,1531.59219578397,1660.72937027495,1483.22690431161,1539.82854451548,1410.6633865571,1365.19163721749,1710.91530534797,1596.51217183841,9,1,6,5,5,8,11,8,7,7,2,11,11,"SXF","IOW","TSC","ARI","OAK","GNB","QDC","SDG","QDC","OAK","TSC","SXF","FRS","IOW","CDR","SXF",NA,NA
